stkcd,名稱,change_type,eff_date,remarks,event_type,ann_date
601880,大連港,加入,2014-11-17,首張可買入及賣出股票名單,In,
600747,大連控股,加入,2014-11-17,首張可買入及賣出股票名單,In,
600743,華遠地產,加入,2014-11-17,首張可買入及賣出股票名單,In,
600742,一汽富維,加入,2014-11-17,首張可買入及賣出股票名單,In,
600741,華域汽車,加入,2014-11-17,首張可買入及賣出股票名單,In,
600739,遼寧成大,加入,2014-11-17,首張可買入及賣出股票名單,In,
600729,重慶百貨,加入,2014-11-17,首張可買入及賣出股票名單,In,
600724,寧波富達,加入,2014-11-17,首張可買入及賣出股票名單,In,
600723,首商股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600720,祁連山,加入,2014-11-17,首張可買入及賣出股票名單,In,
600718,東軟集團,加入,2014-11-17,首張可買入及賣出股票名單,In,
600717,天津港,加入,2014-11-17,首張可買入及賣出股票名單,In,
600708,海博股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600705,中航資本,加入,2014-11-17,首張可買入及賣出股票名單,In,
600704,物產中大,加入,2014-11-17,首張可買入及賣出股票名單,In,
600703,三安光電,加入,2014-11-17,首張可買入及賣出股票名單,In,
600702,沱牌舍得,加入,2014-11-17,首張可買入及賣出股票名單,In,
600697,歐亞集團,加入,2014-11-17,首張可買入及賣出股票名單,In,
600694,大商股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600690,青島海爾,加入,2014-11-17,首張可買入及賣出股票名單,In,
600688,上海石化,加入,2014-11-17,首張可買入及賣出股票名單,In,
600687,剛泰控股,加入,2014-11-17,首張可買入及賣出股票名單,In,
600686,金龍汽車,加入,2014-11-17,首張可買入及賣出股票名單,In,
600685,廣船國際,加入,2014-11-17,首張可買入及賣出股票名單,In,
600684,珠江實業,加入,2014-11-17,首張可買入及賣出股票名單,In,
600682,南京新百,加入,2014-11-17,首張可買入及賣出股票名單,In,
600677,航天通信,加入,2014-11-17,首張可買入及賣出股票名單,In,
600676,交運股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600675,中華企業,加入,2014-11-17,首張可買入及賣出股票名單,In,
600674,川投能源,加入,2014-11-17,首張可買入及賣出股票名單,In,
600748,上實發展,加入,2014-11-17,首張可買入及賣出股票名單,In,
600673,東陽光科,加入,2014-11-17,首張可買入及賣出股票名單,In,
600750,江中藥業,加入,2014-11-17,首張可買入及賣出股票名單,In,
600755,廈門國貿,加入,2014-11-17,首張可買入及賣出股票名單,In,
600823,世茂股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600820,隧道股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600816,安信信託,加入,2014-11-17,首張可買入及賣出股票名單,In,
600811,東方集團,加入,2014-11-17,首張可買入及賣出股票名單,In,
600809,山西汾酒,加入,2014-11-17,首張可買入及賣出股票名單,In,
600808,馬鋼股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600806,昆明機床,加入,2014-11-17,首張可買入及賣出股票名單,In,
600805,悅達投資,加入,2014-11-17,首張可買入及賣出股票名單,In,
600804,鵬博士,加入,2014-11-17,首張可買入及賣出股票名單,In,
600801,華新水泥,加入,2014-11-17,首張可買入及賣出股票名單,In,
600797,浙大網新,加入,2014-11-17,首張可買入及賣出股票名單,In,
600795,國電電力,加入,2014-11-17,首張可買入及賣出股票名單,In,
600794,保稅科技,加入,2014-11-17,首張可買入及賣出股票名單,In,
600790,輕紡城,加入,2014-11-17,首張可買入及賣出股票名單,In,
600787,中儲股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600785,新華百貨,加入,2014-11-17,首張可買入及賣出股票名單,In,
600784,魯銀投資,加入,2014-11-17,首張可買入及賣出股票名單,In,
600783,魯信創投,加入,2014-11-17,首張可買入及賣出股票名單,In,
600780,通寶能源,加入,2014-11-17,首張可買入及賣出股票名單,In,
600778,友好集團,加入,2014-11-17,首張可買入及賣出股票名單,In,
600777,新潮實業,加入,2014-11-17,首張可買入及賣出股票名單,In,
600776,東方通信,加入,2014-11-17,首張可買入及賣出股票名單,In,
600775,南京熊貓,加入,2014-11-17,首張可買入及賣出股票名單,In,
600773,西藏城投,加入,2014-11-17,首張可買入及賣出股票名單,In,
600770,綜藝股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600765,中航重機,加入,2014-11-17,首張可買入及賣出股票名單,In,
600761,安徽合力,加入,2014-11-17,首張可買入及賣出股票名單,In,
600759,洲際油氣,加入,2014-11-17,首張可買入及賣出股票名單,In,
600756,浪潮軟件,加入,2014-11-17,首張可買入及賣出股票名單,In,
600754,錦江股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600824,益民集團,加入,2014-11-17,首張可買入及賣出股票名單,In,
600668,尖峰集團,加入,2014-11-17,首張可買入及賣出股票名單,In,
600666,西南藥業,加入,2014-11-17,首張可買入及賣出股票名單,In,
600597,光明乳業,加入,2014-11-17,首張可買入及賣出股票名單,In,
600596,新安股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600594,益佰製藥,加入,2014-11-17,首張可買入及賣出股票名單,In,
600589,廣東榕泰,加入,2014-11-17,首張可買入及賣出股票名單,In,
600588,用友軟件,加入,2014-11-17,首張可買入及賣出股票名單,In,
600587,新華醫療,加入,2014-11-17,首張可買入及賣出股票名單,In,
600586,金晶科技,加入,2014-11-17,首張可買入及賣出股票名單,In,
600585,海螺水泥,加入,2014-11-17,首張可買入及賣出股票名單,In,
600584,長電科技,加入,2014-11-17,首張可買入及賣出股票名單,In,
600583,海油工程,加入,2014-11-17,首張可買入及賣出股票名單,In,
600582,天地科技,加入,2014-11-17,首張可買入及賣出股票名單,In,
600580,臥龍電氣,加入,2014-11-17,首張可買入及賣出股票名單,In,
600578,京能電力,加入,2014-11-17,首張可買入及賣出股票名單,In,
600577,精達股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600575,皖江物流,加入,2014-11-17,首張可買入及賣出股票名單,In,
600572,康恩貝,加入,2014-11-17,首張可買入及賣出股票名單,In,
600571,信雅達,加入,2014-11-17,首張可買入及賣出股票名單,In,
600570,恒生電子,加入,2014-11-17,首張可買入及賣出股票名單,In,
600568,中珠控股,加入,2014-11-17,首張可買入及賣出股票名單,In,
600567,山鷹紙業,加入,2014-11-17,首張可買入及賣出股票名單,In,
600566,洪城股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600565,迪馬股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600563,法拉電子,加入,2014-11-17,首張可買入及賣出股票名單,In,
600561,江西長運,加入,2014-11-17,首張可買入及賣出股票名單,In,
600560,金自天正,加入,2014-11-17,首張可買入及賣出股票名單,In,
600559,老白干酒,加入,2014-11-17,首張可買入及賣出股票名單,In,
600557,康緣藥業,加入,2014-11-17,首張可買入及賣出股票名單,In,
600552,方興科技,加入,2014-11-17,首張可買入及賣出股票名單,In,
600551,時代出版,加入,2014-11-17,首張可買入及賣出股票名單,In,
600600,青島啤酒,加入,2014-11-17,首張可買入及賣出股票名單,In,
600667,太極實業,加入,2014-11-17,首張可買入及賣出股票名單,In,
600611,大眾交通,加入,2014-11-17,首張可買入及賣出股票名單,In,
600614,鼎立股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600664,哈藥股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600663,陸家嘴,加入,2014-11-17,首張可買入及賣出股票名單,In,
600662,強生控股,加入,2014-11-17,首張可買入及賣出股票名單,In,
600660,福耀玻璃,加入,2014-11-17,首張可買入及賣出股票名單,In,
600658,電子城,加入,2014-11-17,首張可買入及賣出股票名單,In,
600657,信達地產,加入,2014-11-17,首張可買入及賣出股票名單,In,
600655,豫園商城,加入,2014-11-17,首張可買入及賣出股票名單,In,
600654,飛樂股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600651,飛樂音響,加入,2014-11-17,首張可買入及賣出股票名單,In,
600650,錦江投資,加入,2014-11-17,首張可買入及賣出股票名單,In,
600649,城投控股,加入,2014-11-17,首張可買入及賣出股票名單,In,
600648,外高橋,加入,2014-11-17,首張可買入及賣出股票名單,In,
600643,愛建股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600642,申能股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600641,萬業企業,加入,2014-11-17,首張可買入及賣出股票名單,In,
600639,浦東金橋,加入,2014-11-17,首張可買入及賣出股票名單,In,
600638,新黃浦,加入,2014-11-17,首張可買入及賣出股票名單,In,
600637,百視通,加入,2014-11-17,首張可買入及賣出股票名單,In,
600636,三愛富,加入,2014-11-17,首張可買入及賣出股票名單,In,
600635,大眾公用,加入,2014-11-17,首張可買入及賣出股票名單,In,
600633,浙報傳媒,加入,2014-11-17,首張可買入及賣出股票名單,In,
600628,新世界,加入,2014-11-17,首張可買入及賣出股票名單,In,
600626,申達股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600624,復旦復華,加入,2014-11-17,首張可買入及賣出股票名單,In,
600623,雙錢股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600622,嘉寶集團,加入,2014-11-17,首張可買入及賣出股票名單,In,
600620,天宸股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600618,氯鹼化工,加入,2014-11-17,首張可買入及賣出股票名單,In,
600616,金楓酒業,加入,2014-11-17,首張可買入及賣出股票名單,In,
600612,老鳳祥,加入,2014-11-17,首張可買入及賣出股票名單,In,
600549,廈門鎢業,加入,2014-11-17,首張可買入及賣出股票名單,In,
600825,新華傳媒,加入,2014-11-17,首張可買入及賣出股票名單,In,
600827,百聯股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
601313,江南嘉捷,加入,2014-11-17,首張可買入及賣出股票名單,In,
601311,駱駝股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
601299,中國北車,加入,2014-11-17,首張可買入及賣出股票名單,In,
601288,農業銀行,加入,2014-11-17,首張可買入及賣出股票名單,In,
601258,龐大集團,加入,2014-11-17,首張可買入及賣出股票名單,In,
601238,廣汽集團,加入,2014-11-17,首張可買入及賣出股票名單,In,
601233,桐昆股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
601231,環旭電子,加入,2014-11-17,首張可買入及賣出股票名單,In,
601225,陝西煤業,加入,2014-11-17,首張可買入及賣出股票名單,In,
601222,林洋電子,加入,2014-11-17,首張可買入及賣出股票名單,In,
601216,內蒙君正,加入,2014-11-17,首張可買入及賣出股票名單,In,
601208,東材科技,加入,2014-11-17,首張可買入及賣出股票名單,In,
601186,中國鐵建,加入,2014-11-17,首張可買入及賣出股票名單,In,
601179,中國西電,加入,2014-11-17,首張可買入及賣出股票名單,In,
601169,北京銀行,加入,2014-11-17,首張可買入及賣出股票名單,In,
601168,西部礦業,加入,2014-11-17,首張可買入及賣出股票名單,In,
601166,興業銀行,加入,2014-11-17,首張可買入及賣出股票名單,In,
601158,重慶水務,加入,2014-11-17,首張可買入及賣出股票名單,In,
601139,深圳燃氣,加入,2014-11-17,首張可買入及賣出股票名單,In,
601126,四方股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
601118,海南橡膠,加入,2014-11-17,首張可買入及賣出股票名單,In,
601117,中國化學,加入,2014-11-17,首張可買入及賣出股票名單,In,
601111,中國國航,加入,2014-11-17,首張可買入及賣出股票名單,In,
601107,四川成渝,加入,2014-11-17,首張可買入及賣出股票名單,In,
601106,中國一重,加入,2014-11-17,首張可買入及賣出股票名單,In,
601101,昊華能源,加入,2014-11-17,首張可買入及賣出股票名單,In,
601100,恒立油缸,加入,2014-11-17,首張可買入及賣出股票名單,In,
601099,太平洋,加入,2014-11-17,首張可買入及賣出股票名單,In,
601098,中南傳媒,加入,2014-11-17,首張可買入及賣出股票名單,In,
601318,中國平安,加入,2014-11-17,首張可買入及賣出股票名單,In,
601088,中國神華,加入,2014-11-17,首張可買入及賣出股票名單,In,
601328,交通銀行,加入,2014-11-17,首張可買入及賣出股票名單,In,
601336,新華保險,加入,2014-11-17,首張可買入及賣出股票名單,In,
601766,中國南車,加入,2014-11-17,首張可買入及賣出股票名單,In,
601727,上海電氣,加入,2014-11-17,首張可買入及賣出股票名單,In,
601718,際華集團,加入,2014-11-17,首張可買入及賣出股票名單,In,
601717,鄭煤機,加入,2014-11-17,首張可買入及賣出股票名單,In,
601700,風範股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
601699,潞安環能,加入,2014-11-17,首張可買入及賣出股票名單,In,
601688,華泰證券,加入,2014-11-17,首張可買入及賣出股票名單,In,
601678,濱化股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
601669,中國電建,加入,2014-11-17,首張可買入及賣出股票名單,In,
601668,中國建築,加入,2014-11-17,首張可買入及賣出股票名單,In,
601666,平煤股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
601636,旗濱集團,加入,2014-11-17,首張可買入及賣出股票名單,In,
601633,長城汽車,加入,2014-11-17,首張可買入及賣出股票名單,In,
601628,中國人壽,加入,2014-11-17,首張可買入及賣出股票名單,In,
601618,中國中冶,加入,2014-11-17,首張可買入及賣出股票名單,In,
601608,中信重工,加入,2014-11-17,首張可買入及賣出股票名單,In,
601607,上海醫藥,加入,2014-11-17,首張可買入及賣出股票名單,In,
601601,中國太保,加入,2014-11-17,首張可買入及賣出股票名單,In,
601600,中國鋁業,加入,2014-11-17,首張可買入及賣出股票名單,In,
601588,北辰實業,加入,2014-11-17,首張可買入及賣出股票名單,In,
601567,三星電氣,加入,2014-11-17,首張可買入及賣出股票名單,In,
601566,九牧王,加入,2014-11-17,首張可買入及賣出股票名單,In,
601555,東吳證券,加入,2014-11-17,首張可買入及賣出股票名單,In,
601515,東風股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
601398,工商銀行,加入,2014-11-17,首張可買入及賣出股票名單,In,
601390,中國中鐵,加入,2014-11-17,首張可買入及賣出股票名單,In,
601388,怡球資源,加入,2014-11-17,首張可買入及賣出股票名單,In,
601377,興業證券,加入,2014-11-17,首張可買入及賣出股票名單,In,
601369,陝鼓動力,加入,2014-11-17,首張可買入及賣出股票名單,In,
601333,廣深鐵路,加入,2014-11-17,首張可買入及賣出股票名單,In,
600826,蘭生股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
601058,賽輪股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
601018,寧波港,加入,2014-11-17,首張可買入及賣出股票名單,In,
600886,國投電力,加入,2014-11-17,首張可買入及賣出股票名單,In,
600884,杉杉股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600882,華聯礦業,加入,2014-11-17,首張可買入及賣出股票名單,In,
600881,亞泰集團,加入,2014-11-17,首張可買入及賣出股票名單,In,
600880,博瑞傳播,加入,2014-11-17,首張可買入及賣出股票名單,In,
600879,航天電子,加入,2014-11-17,首張可買入及賣出股票名單,In,
600876,洛陽玻璃,加入,2014-11-17,首張可買入及賣出股票名單,In,
600875,東方電氣,加入,2014-11-17,首張可買入及賣出股票名單,In,
600874,創業環保,加入,2014-11-17,首張可買入及賣出股票名單,In,
600873,梅花生物,加入,2014-11-17,首張可買入及賣出股票名單,In,
600872,中炬高新,加入,2014-11-17,首張可買入及賣出股票名單,In,
600869,智慧能源,加入,2014-11-17,首張可買入及賣出股票名單,In,
600867,通化東寶,加入,2014-11-17,首張可買入及賣出股票名單,In,
600864,哈投股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600863,內蒙華電,加入,2014-11-17,首張可買入及賣出股票名單,In,
600859,王府井,加入,2014-11-17,首張可買入及賣出股票名單,In,
600858,銀座股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600850,華東電腦,加入,2014-11-17,首張可買入及賣出股票名單,In,
600846,同濟科技,加入,2014-11-17,首張可買入及賣出股票名單,In,
600845,寶信軟件,加入,2014-11-17,首張可買入及賣出股票名單,In,
600839,四川長虹,加入,2014-11-17,首張可買入及賣出股票名單,In,
600837,海通證券,加入,2014-11-17,首張可買入及賣出股票名單,In,
