stkcd,名稱,change_type,eff_date,remarks,event_type,ann_date,event_class_v1,trigger_class_v1,trigger_reference_date,ann_date_batch,batch_search_status,strict_baseline_candidate,broad_candidate,exclude_reason_v1,manual_check_flag,core_state_before,core_state_after,event_class_v2,state_validation_v2,is_core_state_transition,state_check_pass,baseline_candidate_v2
600756,浪潮軟件,移至滬股通特別證券/中華通特別證券名單 (只可賣出),2024-06-24,半年度調整考察時不符合相關資格準則的股票。該股票同時由可進行保證金交易的合資格上交所證券名單及可賣空的合資格滬股通證券名單中移除。,Special,,SELL_ONLY,PERIODIC_ADJUSTMENT,,2024-06-20,FOUND,Y,Y,,,BUYABLE,SELL_ONLY,SELL_ONLY,VALID_SELL_ONLY,Y,Y,Y
600620,天宸股份,移至滬股通特別證券/中華通特別證券名單 (只可賣出),2024-12-23,半年度調整考察時不符合相關資格準則的股票。該股票同時由可進行保證金交易的合資格上交所證券名單及可賣空的合資格滬股通證券名單中移除。,Special,,SELL_ONLY,PERIODIC_ADJUSTMENT,,2024-12-18,FOUND,Y,Y,,,BUYABLE,SELL_ONLY,SELL_ONLY,VALID_SELL_ONLY,Y,Y,Y
600965,福成股份,移至滬股通特別證券/中華通特別證券名單 (只可賣出),2024-12-23,半年度調整考察時不符合相關資格準則的股票。該股票同時由可進行保證金交易的合資格上交所證券名單及可賣空的合資格滬股通證券名單中移除。,Special,,SELL_ONLY,PERIODIC_ADJUSTMENT,,2024-12-18,FOUND,Y,Y,,,BUYABLE,SELL_ONLY,SELL_ONLY,VALID_SELL_ONLY,Y,Y,Y
600172,黃河旋風,移至滬股通特別證券/中華通特別證券名單 (只可賣出),2024-12-23,半年度調整考察時不符合相關資格準則的股票。該股票同時由可進行保證金交易的合資格上交所證券名單及可賣空的合資格滬股通證券名單中移除。,Special,,SELL_ONLY,PERIODIC_ADJUSTMENT,,2024-12-18,FOUND,Y,Y,,,BUYABLE,SELL_ONLY,SELL_ONLY,VALID_SELL_ONLY,Y,Y,Y
600238,海南椰島,移至滬股通特別證券/中華通特別證券名單 (只可賣出),2024-12-23,半年度調整考察時不符合相關資格準則的股票。該股票同時由可進行保證金交易的合資格上交所證券名單及可賣空的合資格滬股通證券名單中移除。,Special,,SELL_ONLY,PERIODIC_ADJUSTMENT,,2024-12-18,FOUND,Y,Y,,,BUYABLE,SELL_ONLY,SELL_ONLY,VALID_SELL_ONLY,Y,Y,Y
600227,赤天化,移至滬股通特別證券/中華通特別證券名單 (只可賣出),2024-06-24,半年度調整考察時不符合相關資格準則的股票。,Special,,SELL_ONLY,PERIODIC_ADJUSTMENT,,2024-06-20,FOUND,Y,Y,,,BUYABLE,SELL_ONLY,SELL_ONLY,VALID_SELL_ONLY,Y,Y,Y
603399,永杉鋰業,移至滬股通特別證券/中華通特別證券名單 (只可賣出),2024-12-23,半年度調整考察時不符合相關資格準則的股票。該股票同時由可進行保證金交易的合資格上交所證券名單及可賣空的合資格滬股通證券名單中移除。,Special,,SELL_ONLY,PERIODIC_ADJUSTMENT,,2024-12-18,FOUND,Y,Y,,,BUYABLE,SELL_ONLY,SELL_ONLY,VALID_SELL_ONLY,Y,Y,Y
600537,億晶光電,移至滬股通特別證券/中華通特別證券名單 (只可賣出),2024-12-23,半年度調整考察時不符合相關資格準則的股票。該股票同時由可進行保證金交易的合資格上交所證券名單及可賣空的合資格滬股通證券名單中移除。,Special,,SELL_ONLY,PERIODIC_ADJUSTMENT,,2024-12-18,FOUND,Y,Y,,,BUYABLE,SELL_ONLY,SELL_ONLY,VALID_SELL_ONLY,Y,Y,Y
600818,中路股份,移至滬股通特別證券/中華通特別證券名單 (只可賣出),2023-12-18,半年度調整考察時不符合相關資格準則的股票。該股票同時由可進行保證金交易的合資格上交所證券名單及可賣空的合資格滬股通證券名單中移除。,Special,,SELL_ONLY,PERIODIC_ADJUSTMENT,,2023-12-08,FOUND,Y,Y,,,BUYABLE,SELL_ONLY,SELL_ONLY,VALID_SELL_ONLY,Y,Y,Y
002184,海得控制,移至深股通特別證券/中華通特別證券名單 (只可賣出),2024-12-23,半年度調整考察時不符合相關資格準則的股票。,Special,,SELL_ONLY,PERIODIC_ADJUSTMENT,,2024-12-18,FOUND,Y,Y,,,BUYABLE,SELL_ONLY,SELL_ONLY,VALID_SELL_ONLY,Y,Y,Y
002256,兆新股份,移至深股通特別證券/中華通特別證券名單 (只可賣出),2024-12-23,半年度調整考察時不符合相關資格準則的股票。該股票同時由可進行保證金交易的合資格深交所證券名單及可賣空的合資格深股通證券名單中移除。,Special,,SELL_ONLY,PERIODIC_ADJUSTMENT,,2024-12-18,FOUND,Y,Y,,,BUYABLE,SELL_ONLY,SELL_ONLY,VALID_SELL_ONLY,Y,Y,Y
002329,皇氏集團,移至深股通特別證券/中華通特別證券名單 (只可賣出),2024-12-23,半年度調整考察時不符合相關資格準則的股票。該股票同時由可進行保證金交易的合資格深交所證券名單及可賣空的合資格深股通證券名單中移除。,Special,,SELL_ONLY,PERIODIC_ADJUSTMENT,,2024-12-18,FOUND,Y,Y,,,BUYABLE,SELL_ONLY,SELL_ONLY,VALID_SELL_ONLY,Y,Y,Y
002277,友阿股份,移至深股通特別證券/中華通特別證券名單 (只可賣出),2024-12-23,半年度調整考察時不符合相關資格準則的股票。該股票同時由可進行保證金交易的合資格深交所證券名單及可賣空的合資格深股通證券名單中移除。,Special,,SELL_ONLY,PERIODIC_ADJUSTMENT,,2024-12-18,FOUND,Y,Y,,,BUYABLE,SELL_ONLY,SELL_ONLY,VALID_SELL_ONLY,Y,Y,Y
002301,齊心集團,移至深股通特別證券/中華通特別證券名單 (只可賣出),2024-12-23,半年度調整考察時不符合相關資格準則的股票。該股票同時由可進行保證金交易的合資格深交所證券名單及可賣空的合資格深股通證券名單中移除。,Special,,SELL_ONLY,PERIODIC_ADJUSTMENT,,2024-12-18,FOUND,Y,Y,,,BUYABLE,SELL_ONLY,SELL_ONLY,VALID_SELL_ONLY,Y,Y,Y
002298,中電興發,移至深股通特別證券/中華通特別證券名單 (只可賣出),2024-06-24,半年度調整考察時不符合相關資格準則的股票。該股票同時由可進行保證金交易的合資格深交所證券名單及可賣空的合資格深股通證券名單中移除。,Special,,SELL_ONLY,PERIODIC_ADJUSTMENT,,2024-06-20,FOUND,Y,Y,,,BUYABLE,SELL_ONLY,SELL_ONLY,VALID_SELL_ONLY,Y,Y,Y
000607,華媒控股,移至深股通特別證券/中華通特別證券名單 (只可賣出),2024-12-23,半年度調整考察時不符合相關資格準則的股票。該股票同時由可進行保證金交易的合資格深交所證券名單及可賣空的合資格深股通證券名單中移除。,Special,,SELL_ONLY,PERIODIC_ADJUSTMENT,,2024-12-18,FOUND,Y,Y,,,BUYABLE,SELL_ONLY,SELL_ONLY,VALID_SELL_ONLY,Y,Y,Y
000592,平潭發展,移至深股通特別證券/中華通特別證券名單 (只可賣出),2024-12-23,半年度調整考察時不符合相關資格準則的股票。該股票同時由可進行保證金交易的合資格深交所證券名單及可賣空的合資格深股通證券名單中移除。,Special,,SELL_ONLY,PERIODIC_ADJUSTMENT,,2024-12-18,FOUND,Y,Y,,,BUYABLE,SELL_ONLY,SELL_ONLY,VALID_SELL_ONLY,Y,Y,Y
000576,甘化科工,移至深股通特別證券/中華通特別證券名單 (只可賣出),2024-06-24,半年度調整考察時不符合相關資格準則的股票。,Special,,SELL_ONLY,PERIODIC_ADJUSTMENT,,2024-06-20,FOUND,Y,Y,,,BUYABLE,SELL_ONLY,SELL_ONLY,VALID_SELL_ONLY,Y,Y,Y
000720,新能泰山,移至深股通特別證券/中華通特別證券名單 (只可賣出),2024-12-23,半年度調整考察時不符合相關資格準則的股票。,Special,,SELL_ONLY,PERIODIC_ADJUSTMENT,,2024-12-18,FOUND,Y,Y,,,BUYABLE,SELL_ONLY,SELL_ONLY,VALID_SELL_ONLY,Y,Y,Y
000428,華天酒店,移至深股通特別證券/中華通特別證券名單 (只可賣出),2024-06-24,半年度調整考察時不符合相關資格準則的股票。該股票同時由可進行保證金交易的合資格深交所證券名單及可賣空的合資格深股通證券名單中移除。,Special,,SELL_ONLY,PERIODIC_ADJUSTMENT,,2024-06-20,FOUND,Y,Y,,,BUYABLE,SELL_ONLY,SELL_ONLY,VALID_SELL_ONLY,Y,Y,Y
